z m sel_prob sel_tag
6.788345271924387525e-01 2.356493045995866353e+01 8.078877984551429137e-01 0.000000000000000000e+00
7.142770146854369173e-01 2.374322293581005994e+01 6.962181211424749439e-01 0.000000000000000000e+00
9.682830396252171123e-01 2.464471528371795017e+01 9.862422013372224017e-02 0.000000000000000000e+00
1.091103275910703552e+00 2.503139977097516677e+01 1.956583879247838706e-02 0.000000000000000000e+00
6.985612459935144347e-01 2.385884087235185547e+01 6.111502555139901594e-01 0.000000000000000000e+00
5.131262166810159897e-01 2.288299523918875877e+01 9.872587767169425099e-01 1.000000000000000000e+00
1.006860373449571355e+00 2.465632963824660351e+01 9.464889289715988641e-02 0.000000000000000000e+00
1.160973700090004446e-01 1.938365091356986269e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.628893304470467207e-01 2.459619143136903574e+01 1.165555783951008895e-01 0.000000000000000000e+00
7.897071419190078156e-01 2.407890187518690439e+01 4.373057216589503193e-01 1.000000000000000000e+00
5.339267449315192593e-01 2.302041867854380541e+01 9.749531287392648737e-01 1.000000000000000000e+00
6.418800333408143377e-01 2.353489331825459629e+01 8.238696879316864674e-01 1.000000000000000000e+00
1.209233734869568533e+00 2.525454408858358235e+01 6.052163239854291971e-03 0.000000000000000000e+00
1.151967986119132981e+00 2.526607696916089907e+01 5.668210498935341742e-03 0.000000000000000000e+00
7.234079428186988014e-01 2.381727345245760574e+01 6.426133931553938972e-01 0.000000000000000000e+00
9.714789901241878134e-01 2.454690180168664426e+01 1.370205617074813365e-01 0.000000000000000000e+00
1.274087570453001028e+00 2.541582592425865528e+01 2.315411983017411253e-03 0.000000000000000000e+00
1.247666359105939371e+00 2.525309015997319761e+01 6.102168105136610184e-03 0.000000000000000000e+00
1.034306482370234370e+00 2.480024392856172355e+01 5.474519929660481843e-02 0.000000000000000000e+00
7.745134993602713624e-01 2.417314304517453394e+01 3.645638605099444374e-01 1.000000000000000000e+00
1.211285968766398824e+00 2.520577605648207253e+01 7.942390796892200358e-03 0.000000000000000000e+00
7.866417318641851786e-01 2.406708360020867588e+01 4.466351808247301380e-01 1.000000000000000000e+00
1.283766929720389971e+00 2.533992691660480645e+01 3.682715710970007293e-03 0.000000000000000000e+00
1.574381530358228698e-01 1.992864320155475610e+01 9.999999999999997780e-01 1.000000000000000000e+00
1.237357361109635345e+00 2.530275820084298388e+01 4.586794066338480656e-03 0.000000000000000000e+00
5.748363324858574153e-01 2.318481578389635800e+01 9.484881738317509914e-01 1.000000000000000000e+00
6.985273058247731814e-01 2.372677640300949875e+01 7.076207115947071857e-01 0.000000000000000000e+00
1.060992512173455804e+00 2.478644303287956063e+01 5.787260107259808994e-02 0.000000000000000000e+00
1.278760591721249007e+00 2.532397250565948355e+01 4.049134826717828116e-03 0.000000000000000000e+00
1.204048578358247745e+00 2.531673983304987274e+01 4.225744806991771178e-03 0.000000000000000000e+00
1.125077140796831188e+00 2.505405292636887538e+01 1.751091715326022480e-02 0.000000000000000000e+00
9.908668782518013085e-01 2.488463547658858488e+01 3.842433418692631220e-02 0.000000000000000000e+00
1.239395178031510003e+00 2.543020241614265586e+01 2.115502599357273888e-03 0.000000000000000000e+00
1.161358025733501442e+00 2.518120021585398760e+01 9.078509065506648948e-03 0.000000000000000000e+00
1.217112691442622463e+00 2.524404931942166996e+01 6.421405372349218987e-03 0.000000000000000000e+00
4.812293549225832301e-01 2.276473131715922804e+01 9.932544887991849869e-01 1.000000000000000000e+00
4.189839238153258982e-01 2.241288700134558454e+01 9.992488166814725847e-01 1.000000000000000000e+00
5.126660126538160611e-01 2.310500848292950238e+01 9.632716805629693013e-01 1.000000000000000000e+00
1.001403847314761730e+00 2.493915564089706294e+01 3.016929705046742655e-02 0.000000000000000000e+00
1.172396223579041941e+00 2.519434477748920287e+01 8.454291651313797229e-03 0.000000000000000000e+00
7.562705736446053706e-01 2.384129538372622292e+01 6.245334487062998985e-01 0.000000000000000000e+00
1.173607725420774184e+00 2.501948594530276537e+01 2.072641652455839770e-02 0.000000000000000000e+00
1.236682852295766910e+00 2.542480830971695127e+01 2.188597780040940719e-03 0.000000000000000000e+00
5.158542767930247575e-01 2.286084056205233850e+01 9.886462070829858950e-01 1.000000000000000000e+00
6.455457109592790399e-01 2.365409318245640335e+01 7.554728136311578135e-01 0.000000000000000000e+00
8.297413674000122530e-01 2.409900620164837903e+01 4.215176797218453397e-01 0.000000000000000000e+00
8.020094694629789078e-01 2.432536967190602795e+01 2.576073805803332228e-01 0.000000000000000000e+00
8.037409079875137419e-01 2.391556353025962167e+01 5.670517076824970193e-01 0.000000000000000000e+00
8.769916314142409686e-01 2.428514781348076568e+01 2.842386032038091703e-01 0.000000000000000000e+00
3.825876450695298026e-02 1.681619788813834049e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.258735464553200956e+00 2.530672770003346983e+01 4.481589070569504465e-03 0.000000000000000000e+00
1.987937614948398490e-01 2.047513740082533573e+01 9.999999999991036059e-01 1.000000000000000000e+00
1.047159956347165188e+00 2.475569734569666380e+01 6.534396054013021093e-02 0.000000000000000000e+00
1.118266311613829167e+00 2.500788006705478494e+01 2.191253205522585359e-02 0.000000000000000000e+00
7.196174832464599103e-01 2.402906369152980304e+01 4.768235813682797919e-01 0.000000000000000000e+00
7.676582004091745404e-01 2.415670264252614174e+01 3.769863847248906552e-01 1.000000000000000000e+00
9.234730335862095796e-01 2.449610569201923127e+01 1.605472101835608845e-01 0.000000000000000000e+00
9.341367607923247718e-01 2.461942523744646394e+01 1.077004386615441067e-01 0.000000000000000000e+00
1.021636366493407166e+00 2.470722017630847844e+01 7.861632452232675261e-02 0.000000000000000000e+00
9.921205091152816014e-01 2.479533575931499101e+01 5.584175994029302870e-02 0.000000000000000000e+00
2.622029470020228459e-01 2.131252428763902529e+01 9.999999616983346051e-01 1.000000000000000000e+00
6.171903559346203494e-02 1.784561313813281913e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.703853523936648795e-01 2.436644323648350152e+01 2.318138370519074454e-01 1.000000000000000000e+00
4.481761929239760356e-01 2.255628212287706091e+01 9.980580204222615492e-01 1.000000000000000000e+00
7.890630852785007754e-02 1.825044182179413355e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.726472143096196454e-01 2.460277285579214990e+01 1.139963512295840697e-01 0.000000000000000000e+00
6.339739505296722033e-01 2.354272925310488773e+01 8.197838074482448611e-01 1.000000000000000000e+00
1.533860438821212924e-01 1.985887307342921915e+01 9.999999999999998890e-01 1.000000000000000000e+00
7.581832589803747524e-01 2.404383167256649756e+01 4.650721268845980916e-01 1.000000000000000000e+00
1.083913914160678171e+00 2.496514193371357493e+01 2.678583741847128177e-02 0.000000000000000000e+00
3.926839123477350313e-01 2.221485876953178362e+01 9.998217017526794814e-01 1.000000000000000000e+00
9.287199104303280883e-01 2.453072195514620901e+01 1.442441052566841853e-01 0.000000000000000000e+00
1.277899267062002409e+00 2.544645251739720138e+01 1.908483426735988657e-03 0.000000000000000000e+00
1.497234695239166857e-01 2.002002225613790287e+01 9.999999999999991118e-01 1.000000000000000000e+00
1.298680330394122340e+00 2.550210132427694987e+01 1.331389507375821792e-03 0.000000000000000000e+00
1.241242411677101032e+00 2.519652012450111300e+01 8.354703982114167551e-03 0.000000000000000000e+00
7.335718929631962482e-01 2.380575371139437024e+01 6.511742269509090963e-01 1.000000000000000000e+00
1.851000453437550153e-01 2.037001431883265212e+01 9.999999999998063771e-01 1.000000000000000000e+00
