z m sel_prob sel_tag
5.131262166810159897e-01 2.288299523918875877e+01 9.872587767169425099e-01 1.000000000000000000e+00
1.160973700090004446e-01 1.938365091356986269e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.897071419190078156e-01 2.407890187518690439e+01 4.373057216589503193e-01 1.000000000000000000e+00
5.339267449315192593e-01 2.302041867854380541e+01 9.749531287392648737e-01 1.000000000000000000e+00
6.418800333408143377e-01 2.353489331825459629e+01 8.238696879316864674e-01 1.000000000000000000e+00
7.745134993602713624e-01 2.417314304517453394e+01 3.645638605099444374e-01 1.000000000000000000e+00
7.866417318641851786e-01 2.406708360020867588e+01 4.466351808247301380e-01 1.000000000000000000e+00
1.574381530358228698e-01 1.992864320155475610e+01 9.999999999999997780e-01 1.000000000000000000e+00
5.748363324858574153e-01 2.318481578389635800e+01 9.484881738317509914e-01 1.000000000000000000e+00
4.812293549225832301e-01 2.276473131715922804e+01 9.932544887991849869e-01 1.000000000000000000e+00
4.189839238153258982e-01 2.241288700134558454e+01 9.992488166814725847e-01 1.000000000000000000e+00
5.126660126538160611e-01 2.310500848292950238e+01 9.632716805629693013e-01 1.000000000000000000e+00
5.158542767930247575e-01 2.286084056205233850e+01 9.886462070829858950e-01 1.000000000000000000e+00
3.825876450695298026e-02 1.681619788813834049e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.987937614948398490e-01 2.047513740082533573e+01 9.999999999991036059e-01 1.000000000000000000e+00
7.676582004091745404e-01 2.415670264252614174e+01 3.769863847248906552e-01 1.000000000000000000e+00
2.622029470020228459e-01 2.131252428763902529e+01 9.999999616983346051e-01 1.000000000000000000e+00
6.171903559346203494e-02 1.784561313813281913e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.703853523936648795e-01 2.436644323648350152e+01 2.318138370519074454e-01 1.000000000000000000e+00
4.481761929239760356e-01 2.255628212287706091e+01 9.980580204222615492e-01 1.000000000000000000e+00
7.890630852785007754e-02 1.825044182179413355e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.339739505296722033e-01 2.354272925310488773e+01 8.197838074482448611e-01 1.000000000000000000e+00
1.533860438821212924e-01 1.985887307342921915e+01 9.999999999999998890e-01 1.000000000000000000e+00
7.581832589803747524e-01 2.404383167256649756e+01 4.650721268845980916e-01 1.000000000000000000e+00
3.926839123477350313e-01 2.221485876953178362e+01 9.998217017526794814e-01 1.000000000000000000e+00
1.497234695239166857e-01 2.002002225613790287e+01 9.999999999999991118e-01 1.000000000000000000e+00
7.335718929631962482e-01 2.380575371139437024e+01 6.511742269509090963e-01 1.000000000000000000e+00
1.851000453437550153e-01 2.037001431883265212e+01 9.999999999998063771e-01 1.000000000000000000e+00
7.205841450135044290e-01 2.384518196655383093e+01 6.215811370600876629e-01 1.000000000000000000e+00
4.220715439796387525e-01 2.242309055075886448e+01 9.991942547237864236e-01 1.000000000000000000e+00
6.416046916134110489e-01 2.360818133734294122e+01 7.833735260876356632e-01 1.000000000000000000e+00
4.264141178841731605e-01 2.264246508591955731e+01 9.966869101248593266e-01 1.000000000000000000e+00
3.430537057020650593e-01 2.188246997362087143e+01 9.999885754682429351e-01 1.000000000000000000e+00
4.624534391599799399e-01 2.277971036655996429e+01 9.926681362692764132e-01 1.000000000000000000e+00
5.745344488798591609e-01 2.340202680601277407e+01 8.841412594137865177e-01 1.000000000000000000e+00
2.005071948264580683e-01 2.064870929398087540e+01 9.999999999897615233e-01 1.000000000000000000e+00
4.788699022936608873e-01 2.284539983898798354e+01 9.895337661424830067e-01 1.000000000000000000e+00
5.045243099766505424e-02 1.744188161435605267e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.016874424849235403e+00 2.459749795518287740e+01 1.160443139791323408e-01 1.000000000000000000e+00
9.260013662368440368e-01 2.463506412738762208e+01 1.020194742672779209e-01 1.000000000000000000e+00
